brand,price,year,mileage,color,vin,lot,state,country,condition
dodge,2700,2015,67133.0,white,1c3cdfaa2fd434311,167800591,texas,usa,2 days left
dodge,12800,2019,33580.0,no_color,2c4rdgcg1kr671800,167744794,pennsylvania,usa,2 days left
dodge,9700,2015,94140.0,black,3c4pdcdg6ft650328,167800598,texas,usa,2 days left
dodge,18300,2019,10447.0,silver,3c4pddgg0kt858538,167744804,pennsylvania,usa,2 days left
dodge,16000,2019,10229.0,silver,2c3cdxbg5kh725391,167625316,illinois,usa,19 hours left
dodge,21000,2019,6269.0,gray,2c4rdgcg0kr744767,167744806,pennsylvania,usa,3 days left
dodge,3700,2014,98699.0,white,3c4pdcab3et310674,167800603,texas,usa,2 days left
dodge,33000,2019,10631.0,gray,1c4sdjct4kc740628,167625318,illinois,usa,2 days left
dodge,14700,2019,44381.0,silver,2c4rdgcg7kr519648,167744811,pennsylvania,usa,2 days left
dodge,33000,2019,13960.0,silver,1c4sdjct5kc811965,167625319,illinois,usa,2 days left
dodge,15900,2019,14051.0,white,2c4rdgcg6kr749441,167744815,pennsylvania,usa,2 days left
dodge,33000,2019,20800.0,gray,1c4sdjct2kc681580,167625320,illinois,usa,2 days left
dodge,33000,2019,8873.0,gray,1c4sdjct7kc779861,167625325,illinois,usa,2 days left
dodge,32500,2019,15502.0,black,1c4sdjct4kc745182,167625326,illinois,usa,2 days left
dodge,33000,2019,9669.0,silver,1c4sdjct7kc769752,167625329,illinois,usa,2 days left
dodge,13000,2018,50873.0,black,2c4rdgbg6jr221818,167745671,virginia,usa,8 days left
dodge,33000,2019,14117.0,white,1c4sdjct4kc779848,167625330,illinois,usa,2 days left
dodge,16500,2019,46820.0,red,2c3cdxct5kh529589,167625332,illinois,usa,19 hours left
dodge,33000,2019,7247.0,gray,1c4sdjct1kc779869,167625333,illinois,usa,2 days left
dodge,34500,2017,40991.0,red,2c3cdzfjxhh633364,167746267,north carolina,usa,Listing Expired
dodge,33500,2019,9023.0,white,1c4sdjct2kc632962,167625334,illinois,usa,2 days left
dodge,48000,2018,8047.0,white,1c4sdjgj9jc370929,167748862,pennsylvania,usa,3 days left
dodge,54500,2019,3966.0,red,1c4sdjgj9kc575135,167625396,illinois,usa,2 days left
dodge,13200,2018,41014.0,silver,2c4rdgcg6jr301523,167748926,pennsylvania,usa,3 days left
dodge,31500,2018,20907.0,white,1c4sdjct3jc248087,167627221,illinois,usa,2 days left
dodge,17400,2017,89795.0,red,1c4rdjdgxhc847904,167628762,illinois,usa,2 days left
dodge,26000,2017,57158.0,white,1c4sdjct5hc857353,167628774,illinois,usa,2 days left
dodge,1700,2013,126718.0,orange,1c3cdfba9dd316977,167629352,texas,usa,2 days left
